Dataset,Algo,Sparsity,TopN,Precision,Recall,F1
custom,SVD,0.5,50,0.07919999999999998,0.94,0.14609105180533752
custom,SVD,0.5,55,0.07200000000000001,0.94,0.13375494071146246
custom,SVD,0.5,60,0.066,0.94,0.12333996023856858
custom,SVD,0.5,65,0.06092307692307692,0.94,0.11442975714724873
custom,SVD,0.5,70,0.056571428571428564,0.94,0.10672018348623852
custom,SVD,0.5,75,0.0528,0.94,0.09998388396454472
custom,SVD,0.5,80,0.0495,0.94,0.09404749873673574
custom,SVD,0.5,85,0.04658823529411765,0.94,0.08877653231576438
custom,SVD,0.5,90,0.044000000000000004,0.94,0.08406504065040651
custom,SVD,0.5,95,0.04168421052631579,0.94,0.07982843662877975
custom,SVD,0.5,100,0.03959999999999999,0.94,0.07599836668027765
custom,SVD,0.6,10,0.3984705882352941,0.8119021164021164,0.5345755847868704
custom,SVD,0.6,15,0.3270065359477124,0.9781232492997199,0.49014690943853656
custom,SVD,0.6,20,0.24600000000000002,0.98,0.3932789559543231
custom,SVD,0.6,25,0.1968,0.98,0.32777702243371853
custom,SVD,0.6,30,0.16399999999999998,0.98,0.28097902097902094
custom,SVD,0.6,35,0.14057142857142857,0.98,0.2458745537990821
custom,SVD,0.6,40,0.12300000000000001,0.98,0.2185675430643699
custom,SVD,0.6,45,0.10933333333333334,0.98,0.19671970624235008
custom,SVD,0.6,50,0.0984,0.98,0.1788427299703264
custom,SVD,0.6,55,0.08945454545454545,0.98,0.16394423665419924
custom,SVD,0.6,60,0.08199999999999999,0.98,0.15133709981167606
custom,SVD,0.6,65,0.0756923076923077,0.98,0.14053045759253863
custom,SVD,0.6,70,0.07028571428571428,0.98,0.13116430903155604
custom,SVD,0.6,75,0.0656,0.98,0.12296863045141544
custom,SVD,0.6,80,0.061500000000000006,0.98,0.11573691790686509
custom,SVD,0.6,85,0.05788235294117647,0.98,0.10930854681478122
custom,SVD,0.6,90,0.05466666666666667,0.98,0.10355670103092784
custom,SVD,0.6,95,0.051789473684210524,0.98,0.0983799224648031
custom,SVD,0.6,100,0.0492,0.98,0.09369607462106491
custom,SVD,0.65,10,0.41509803921568633,0.7856047307812014,0.5431791720377679
custom,SVD,0.65,15,0.3458562091503268,0.9639842826019297,0.5090683146500374
custom,SVD,0.65,20,0.265,0.98,0.4171887550200802
custom,SVD,0.65,25,0.212,0.98,0.3485906040268456
custom,SVD,0.65,30,0.17666666666666667,0.98,0.2993659942363112
custom,SVD,0.65,35,0.1514285714285714,0.98,0.2623232323232323
custom,SVD,0.65,40,0.1325,0.98,0.233438202247191
custom,SVD,0.65,45,0.11777777777777779,0.98,0.21028340080971664
custom,SVD,0.65,50,0.106,0.98,0.1913075506445672
custom,SVD,0.65,55,0.09636363636363637,0.98,0.17547297297297298
custom,SVD,0.65,60,0.08833333333333333,0.98,0.16205928237129485
custom,SVD,0.65,65,0.08153846153846153,0.98,0.15055072463768118
custom,SVD,0.65,70,0.0757142857142857,0.98,0.14056833558863327
custom,SVD,0.65,75,0.07066666666666667,0.98,0.1318274111675127
custom,SVD,0.65,80,0.06625,0.98,0.12410991636798088
custom,SVD,0.65,85,0.06235294117647059,0.98,0.11724604966139957
custom,SVD,0.65,90,0.05888888888888889,0.98,0.11110160427807486
custom,SVD,0.65,95,0.05578947368421052,0.98,0.1055691056910569
custom,SVD,0.65,100,0.053,0.98,0.10056147144240078
custom,SVD,0.7,10,0.42105882352941176,0.7193770902300314,0.5311940958596214
custom,SVD,0.7,15,0.3697254901960784,0.9539114959114959,0.5329010834827054
custom,SVD,0.7,20,0.28600000000000003,0.98,0.4427804107424961
custom,SVD,0.7,25,0.22880000000000003,0.98,0.37098610191925874
custom,SVD,0.7,30,0.19066666666666662,0.98,0.3192255125284738
custom,SVD,0.7,35,0.16342857142857142,0.98,0.2801399300349825
custom,SVD,0.7,40,0.14300000000000002,0.98,0.24958147818343726
custom,SVD,0.7,45,0.1271111111111111,0.98,0.22503412284223198
custom,SVD,0.7,50,0.11440000000000002,0.98,0.2048830409356725
custom,SVD,0.7,55,0.10400000000000001,0.98,0.1880442804428044
custom,SVD,0.7,60,0.09533333333333331,0.98,0.17376317420954743
custom,SVD,0.7,65,0.08800000000000001,0.98,0.16149812734082394
custom,SVD,0.7,70,0.08171428571428571,0.98,0.1508503767491927
custom,SVD,0.7,75,0.07626666666666666,0.98,0.14151981822772025
custom,SVD,0.7,80,0.07150000000000001,0.98,0.13327627199239184
custom,SVD,0.7,85,0.06729411764705882,0.98,0.12594023814873062
custom,SVD,0.7,90,0.06355555555555555,0.98,0.11936967632027255
custom,SVD,0.7,95,0.06021052631578947,0.98,0.11345071847804085
custom,SVD,0.7,100,0.05720000000000001,0.98,0.10809101426918627
custom,SVD,0.75,10,0.42694117647058827,0.700388888888889,0.5304942359817199
custom,SVD,0.75,15,0.3802091503267974,0.9459126984126983,0.5423969478617764
custom,SVD,0.75,20,0.302,1.0,0.46390168970814133
custom,SVD,0.75,25,0.2416,1.0,0.38917525773195877
custom,SVD,0.75,30,0.20133333333333334,1.0,0.33518312985571586
custom,SVD,0.75,35,0.17257142857142857,1.0,0.29434697855750486
